epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5079166889190674,9.999999974752427e-07,0.7301692366600037,0.5,0.6935626268386841
1,0.5391666889190674,9.999999974752427e-07,0.7107463479042053,0.5,0.6934058666229248
2,0.5479166507720947,9.999999974752427e-07,0.7013413906097412,0.5099999904632568,0.6867839097976685
3,0.5716666579246521,9.999999974752427e-07,0.6960999369621277,0.5149999856948853,0.682935893535614
4,0.5983333587646484,9.999999974752427e-07,0.6801067590713501,0.5633333325386047,0.6787713170051575
5,0.5983333587646484,9.999999974752427e-07,0.6758974194526672,0.528333306312561,0.673528790473938
6,0.5987499952316284,9.999999974752427e-07,0.6657229065895081,0.5183333158493042,0.6890102028846741
7,0.5912500023841858,9.999999974752427e-07,0.6706557273864746,0.5766666531562805,0.6749017238616943
8,0.6066666841506958,9.999999974752427e-07,0.6626356244087219,0.5299999713897705,0.6823577284812927
9,0.5979166626930237,4.999999987376214e-07,0.6612197160720825,0.5583333373069763,0.6706216931343079
10,0.6029166579246521,4.999999987376214e-07,0.6643404364585876,0.5433333516120911,0.6731482744216919
11,0.6087499856948853,4.999999987376214e-07,0.6650739312171936,0.5633333325386047,0.6699530482292175
12,0.6116666793823242,4.999999987376214e-07,0.6649771332740784,0.5366666913032532,0.6713317632675171
13,0.6179166436195374,4.999999987376214e-07,0.6587987542152405,0.5516666769981384,0.6674612760543823
14,0.6008333563804626,4.999999987376214e-07,0.6628724932670593,0.5633333325386047,0.6662037968635559
15,0.6262500286102295,4.999999987376214e-07,0.6491550207138062,0.5400000214576721,0.6708016991615295
16,0.6120833158493042,4.999999987376214e-07,0.6513229608535767,0.6016666889190674,0.6618843078613281
17,0.6116666793823242,4.999999987376214e-07,0.6552485823631287,0.54666668176651,0.6664869785308838
18,0.6212499737739563,4.999999987376214e-07,0.6529919505119324,0.54666668176651,0.6681976318359375
19,0.6150000095367432,4.999999987376214e-07,0.6520696878433228,0.5366666913032532,0.674130380153656
20,0.6229166388511658,2.499999993688107e-07,0.6587313413619995,0.5866666436195374,0.6619667410850525
21,0.6241666674613953,2.499999993688107e-07,0.6457588076591492,0.5550000071525574,0.663918673992157
22,0.6145833134651184,2.499999993688107e-07,0.6551368236541748,0.5516666769981384,0.668071985244751
